balance,guardian_name,guardian_phone,User_id
990.52,Tybie Calbert,3176373761,1
187.02,Gilbertina Ralfe,5356303137,2
87.25,Shara Killford,7995448366,3
1440.3,Gaby Haycroft,3764977818,4
568.79,Alyssa Jarrell,2785395326,5
525.49,Alejandra Wasiel,2631010327,6
1629.28,Jacqui Dunstall,2993597172,7
729.11,Sarine Richardon,5256108382,8
627.14,Shandie Bladesmith,7714188241,9
555.81,Max Braham,5586273133,10
742.97,Gib Shoesmith,7197106707,11
1899.9,Aubry McSperron,2714458167,12
1411.95,Enrika Tullett,4513452908,13
678.99,Phillipe Stiffkins,8796275708,14
119.59,Roana Renfrew,8016587240,15
1220.69,Jolyn Phuprate,1345633341,16
1321.24,Ingamar Flippen,2926863454,17
804.47,Baxter Spawton,5371722531,18
66.2,Torrie Abyss,6492895301,19
555.51,Lorena Maskell,2324258167,20
96.15,Francisca Nelligan,6139959942,21
464.83,Leoline Ades,3442756979,22
909.91,Heida Markos,9679818766,23
462.92,Yuri Kynton,6472349608,24
1999.37,Tandy Pethybridge,3187505664,25
286.12,Cristiano Virr,2193226240,26
1711.71,Reuben Harrow,3108026013,27
316.96,Anny Higgan,2868685359,28
142.08,Margit Argont,2027216262,29
1306.3,Baxie Pinkerton,2206466647,30
1278.27,Mordy Cheyne,9093896236,31
473.42,Kean Hingeley,8973570183,32
750.47,Melina Priver,2254767514,33
381.88,Meryl Purveys,1596088361,34
239.65,Wilona Wyke,2313205720,35
577.28,Perla Bolgar,5348874873,36
1295.95,Norri Eseler,8394298701,37
1192.93,Dilan Lampert,6138304494,38
902.4,Solly Warin,9489574236,39
1272.7,Valaree Ponton,3139416833,40
1487.32,Jerry McKitterick,2518470636,41
1478.08,Rosaleen Summons,3132044431,42
300.81,Katine Gilvear,2347024553,43
106.88,Paulina Westall,6349747281,44
1521.86,Dimitri Lindro,7372611121,45
1513.69,Corri Colquit,2965875693,46
1362.94,Muriel Hansman,3397617983,47
1308.83,Marja Beasley,5388435259,48
886.24,Demetris Gornal,3182396898,49
637.57,Rodrique McCullogh,2318220432,50
1429.26,Clo Louw,8181548509,51
1696.61,Diarmid Bisley,6966933250,52
886.18,Leshia Fontel,7658029215,53
198.76,Murdock Hanley,3476589195,54
1328.84,Leanor Gerran,1726411719,55
1920.43,Abbott Baggiani,4094074898,56
842.35,Maggee Webby,2034586836,57
473.32,Norry Arnholz,5725011161,58
1503.8,Iorgos Baptista,6785407959,59
1941.33,Katya Dellenbrook,2036905906,60
276.71,Corrinne Nestle,2053599805,61
1533.7,Bria Meeson,2553840181,62
1884.48,Marnia Luigi,3143486434,63
1079.73,Fredericka Assel,5571574623,64
1443.16,Alyosha Fisbey,2801899495,65
431.37,Carrie Disley,2403022174,66
39.87,Giselbert Lowless,1545940660,67
1586.97,King Mattingley,8984753420,68
473.46,Tana Derle,6137587486,69
1357.47,Halie Camilletti,9232592138,70
683.95,Calhoun Kennermann,3397894411,71
1194.66,Danette Gamett,8247185378,72
791.24,Ganny Cornfoot,3653879836,73
1367.96,Selena Rumbold,3418883082,74
1714.34,Brett Gronav,3626113121,75
1816.1,Janela Kubera,2124450586,76
1329.04,Keir Roycroft,4617582952,77
324.68,Mira Lenoir,4145903671,78
1695.29,Alysia Filipczynski,5058948419,79
1019.55,Sollie Fox,1018623657,80
1018.46,Rana Gallegos,8207013070,81
392.23,Marilyn Atrill,6012579767,82
392.87,Chase Pettigrew,7589731193,83
1511.78,Warren Foskin,7721334051,84
745.55,Tildi Fonzone,6179908093,85
1497.88,Billie Bernardoni,7999564331,86
1944.65,Dorothea Byrde,7235040828,87
1561.59,Bendick Kolodziejski,3022160055,88
995.77,Barbaraanne Lydster,3276627689,89
39.88,Leonora Keedy,9997511694,90
454.74,Batsheva Organ,4187121731,91
909.53,Ricardo Tremain,5944105339,92
855.08,Janessa Asquez,7551549737,93
1754.6,Rice Pilmoor,2047602960,94
955.69,Ivett Hammerberg,1994182047,95
1212.35,Izak Megarry,7783957172,96
1615.87,Laughton Jochens,1345325270,97
1786.42,Cheslie Restall,8615910325,98
1502.18,Lon Shaw,9022372541,99
1747.42,Ximenez Van Castele,2309633890,100
